gisid,landarea,buildingvalue,landvalue,owner_name,geometry,pct_bldg
136-39,16990,11560200,5436800,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1135898483053, -71.1136451654161, -71.1137699717171, -71.1141412813478, -71.1140899121035, -71.1140327199656, -71.1135962766922, -71.1135898483053, 42.3723772378621, 42.3722635445922, 42.3720060207339, 42.3721060535268, 42.3723007104665, 42.3724974058937, 42.3723790156635, 42.3723772378621)))",0.6801317879625817
246-9,113299,4461500,15361200,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1383906487873, -71.1380646700579, -71.1375834818388, -71.1376172376336, -71.1376301005644, -71.1378445254308, -71.1378529701202, -71.1379128134388, -71.1379516777945, -71.1379642493443, -71.1379779602849, -71.1379925594139, -71.1380081128939, -71.1380248057656, -71.1380419758116, -71.1380598080725, -71.1380781135829, -71.1380968592614, -71.1381158191352, -71.1381350302135, -71.1381542334415, -71.138187750918, -71.1382210424245, -71.1382541040382, -71.1382869026768, -71.1383197344053, 
-71.1383520771898, -71.1383862782274, -71.1384202863869, -71.1384539536381, -71.1384872138099, -71.1385202480212, -71.138553019265, -71.1385851204536, -71.1386169956844, -71.138648837838, -71.1386804618729, -71.1387121190066, -71.1387437391426, -71.1387751372405, -71.1388065314309, -71.1388379295498, -71.1388691017131, -71.1389000148305, -71.1389311830991, -71.1389620962386, -71.1389928204323, -71.1390235076294, -71.1390541948379, -71.1391857456887, -71.1392020972639, -71.1392187079002, -71.1391397210631, 
-71.138413973783, -71.1383906487873, 42.3760965105271, 42.3760255116459, 42.375921094147, 42.3758429945338, 42.375813536316, 42.3753298834339, 42.3753093295026, 42.3751606521427, 42.3750757083274, 42.3750647716167, 42.3750552105247, 42.3750456522261, 42.3750374689633, 42.3750306613181, 42.3750245411892, 42.3750191091585, 42.3750150506484, 42.3750116795374, 42.3750096811318, 42.3750090555477, 42.3750098019702, 42.3750119654461, 42.3750148142188, 42.3750190342934, 42.3750239395489, 42.3750295309162, 
42.3750364927715, 42.3750420884247, 42.3750490554958, 42.3750573935199, 42.3750657302547, 42.3750747522872, 42.375084459501, 42.3750948506176, 42.3751059270325, 42.3751163173174, 42.3751260208911, 42.3751364105772, 42.3751468001384, 42.3751571889936, 42.3751682638451, 42.3751786526832, 42.3751897268204, 42.375200800136, 42.3752125602613, 42.3752236335602, 42.3752353922749, 42.3752471508652, 42.3752589094474, 42.3753135174903, 42.3753211149648, 42.3753287132495, 42.3756742181394, 42.3761013859636, 
42.3760965105271)))",0.22507024774627069
165-34,17577,1300800,16087400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1217242288824, -71.1218849658871, -71.1220390008896, -71.1223682995104, -71.1220945943135, -71.1217242288824, 42.3728069677345, 42.3725756220515, 42.3724252042649, 42.372547710997, 42.3729440166537, 42.3728069677345)))",0.07480935346959432
162-52,2040,408500,613600,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1203672166604, -71.1204495803068, -71.1205845776201, -71.1204915850325, -71.1203672166604, 42.3716087979839, 42.3714938461273, 42.3715436848089, 42.3716600011711, 42.3716087979839)))",0.39966735153116134
136-12,6305,549800,1476600,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1132937264113, -71.113344244432, -71.1138063951973, -71.1137969465775, -71.1137669388366, -71.1132937264113, 42.3733380406394, 42.3732044643082, 42.3732773352625, 42.3733095464045, 42.3734116623914, 42.3733380406394)))",0.2713185945519147
131-70,105726,41708600,42628700,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1147752963118, -71.1147734747757, -71.1147831688308, -71.1151799964084, -71.1156848255291, -71.1158936497228, -71.1159528598997, -71.1160768183223, -71.1160410524298, -71.1160398846563, -71.1155966939528, -71.1155701665367, -71.1151870947053, -71.1151215081413, -71.1150683043686, -71.1147752963118, 42.3686835727103, 42.3685998722841, 42.3678041225571, 42.3678116250393, 42.3678215451158, 42.3678263587659, 42.3678258704575, 42.3678269702917, 42.3679277231606, 42.3679311219173, 42.3688118621742, 
42.3688049133285, 42.368700729552, 42.3686847316763, 42.368683181603, 42.3686835727103)))",0.4945451182335692
164-5,126655,109074300,93319400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1216603862543, -71.121854719512, -71.1229217209222, -71.1227272460554, -71.1220242235204, -71.122009231745, -71.1219946922483, -71.1219810779129, -71.1219681749015, -71.1219562011518, -71.121945156664, -71.121935300482, -71.121881735, -71.1218224746703, -71.1218024745464, -71.1212629863399, -71.1212620942205, -71.121261460978, -71.1212617158768, -71.121262451852, -71.1212636318976, -71.1212655150546, -71.1212681013227, -71.121271127553, -71.121274375818, -71.1212781010509, -71.1215180195276, 
-71.1216874004735, -71.1216603862543, 42.3709085450938, 42.3706711356987, 42.3711610254845, 42.3713915759997, 42.3722227803317, 42.3722172429239, 42.3722103349638, 42.3722034300422, 42.3721951554201, 42.3721861978323, 42.372176557279, 42.3721662346119, 42.3721070609784, 42.3720410084136, 42.3720189900739, 42.3714567655299, 42.3714512470047, 42.3714457567725, 42.3714402694646, 42.3714347837407, 42.3714292994789, 42.371423817532, 42.3714183379, 42.371413545735, 42.3714087543009, 42.3714046504555, 42.3711255720384, 
42.3709209822752, 42.3709085450938)))",0.5389214189967375
162-35,3552,5243000,3398600,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1204915850325, -71.1205845776201, -71.1207412441741, -71.1208016954555, -71.1207022270692, -71.1204915850325, 42.3716600011711, 42.3715436848089, 42.3716025130163, 42.3716239788811, 42.3717464482281, 42.3716600011711)))",0.6067163488242918
132-78,4999,1423800,1430800,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1148547086417, -71.114878533136, -71.1149162548588, -71.1149846149948, -71.1150190488847, -71.1151529772529, -71.1150308586006, -71.1148547086417, 42.3693156621442, 42.3692681870801, 42.3691930708111, 42.3690574678897, 42.3690665013895, 42.3691019365282, 42.3693635871272, 42.3693156621442)))",0.49877390877881317
165-53,65337,130130300,60764300,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1241037558763, -71.1241153225624, -71.1240385072148, -71.1240361554194, -71.1243623281314, -71.124332441769, -71.1241171960445, -71.1240646741177, -71.124021939846, -71.1239642123877, -71.1236963783197, -71.1236812228444, -71.1236062125845, -71.1235820399666, -71.1235455943249, -71.1230641999078, -71.1232765672091, -71.123289646089, -71.1233043164144, -71.1233204218217, -71.1233376372578, -71.1233564731354, -71.1233765258118, -71.1238564395556, -71.123858197867, -71.123964062329, 
-71.1241037558763, 42.3722673255855, 42.3722701074549, 42.3723864795083, 42.3723899019126, 42.3725034744731, 42.3725507121248, 42.3728889019176, 42.3729712445361, 42.3730381425532, 42.373018745354, 42.3734061557115, 42.3734280587091, 42.3734024306305, 42.373434621821, 42.3734831823931, 42.3732963811225, 42.3729828530921, 42.3729616568039, 42.372940438285, 42.3729205964995, 42.3729007857872, 42.3728822975327, 42.3728645541585, 42.3724723225919, 42.3724708825582, 42.3723842055593, 42.3722673255855)))",0.6816866480246168
